Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,72,7,Some Random Commen with Id 0
1,0,0,111,5,Some Random Commen with Id 1
2,0,0,143,4,Some Random Commen with Id 2
3,0,0,159,6,Some Random Commen with Id 3
4,1,8,150,2,Some Random Commen with Id 4
5,1,8,194,8,Some Random Commen with Id 5
6,2,7,19,6,Some Random Commen with Id 6
7,2,7,164,2,Some Random Commen with Id 7
8,2,7,155,2,Some Random Commen with Id 8
9,2,7,56,9,Some Random Commen with Id 9
10,4,6,74,4,Some Random Commen with Id 10
11,4,6,94,1,Some Random Commen with Id 11
12,4,6,24,6,Some Random Commen with Id 12
13,4,6,171,2,Some Random Commen with Id 13
14,4,6,160,2,Some Random Commen with Id 14
15,4,6,198,7,Some Random Commen with Id 15
16,4,6,73,1,Some Random Commen with Id 16
17,5,2,40,5,Some Random Commen with Id 17
18,5,2,43,4,Some Random Commen with Id 18
19,5,2,153,7,Some Random Commen with Id 19
20,6,6,120,4,Some Random Commen with Id 20
21,6,6,7,6,Some Random Commen with Id 21
22,6,6,69,8,Some Random Commen with Id 22
23,6,6,183,7,Some Random Commen with Id 23
24,7,7,193,5,Some Random Commen with Id 24
25,7,7,125,0,Some Random Commen with Id 25
26,7,7,96,4,Some Random Commen with Id 26
27,7,7,34,9,Some Random Commen with Id 27
28,7,7,167,0,Some Random Commen with Id 28
29,7,7,132,2,Some Random Commen with Id 29
30,7,7,65,2,Some Random Commen with Id 30
31,8,1,12,0,Some Random Commen with Id 31
32,8,1,93,6,Some Random Commen with Id 32
33,8,1,135,6,Some Random Commen with Id 33
34,8,1,7,9,Some Random Commen with Id 34
35,8,1,162,1,Some Random Commen with Id 35
36,9,1,197,6,Some Random Commen with Id 36
37,9,1,12,4,Some Random Commen with Id 37
38,9,1,41,4,Some Random Commen with Id 38
39,9,1,146,5,Some Random Commen with Id 39
40,10,0,16,5,Some Random Commen with Id 40
41,11,0,144,4,Some Random Commen with Id 41
42,12,7,39,4,Some Random Commen with Id 42
43,12,7,60,2,Some Random Commen with Id 43
44,12,7,4,5,Some Random Commen with Id 44
45,12,7,6,0,Some Random Commen with Id 45
46,12,7,157,1,Some Random Commen with Id 46
47,12,7,86,5,Some Random Commen with Id 47
48,12,7,85,4,Some Random Commen with Id 48
49,12,7,172,8,Some Random Commen with Id 49
50,13,3,98,5,Some Random Commen with Id 50
51,13,3,84,6,Some Random Commen with Id 51
52,13,3,23,0,Some Random Commen with Id 52
53,13,3,47,3,Some Random Commen with Id 53
54,13,3,175,0,Some Random Commen with Id 54
55,13,3,129,5,Some Random Commen with Id 55
56,13,3,55,3,Some Random Commen with Id 56
57,13,3,135,5,Some Random Commen with Id 57
58,13,3,95,7,Some Random Commen with Id 58
59,14,7,8,5,Some Random Commen with Id 59
60,14,7,135,9,Some Random Commen with Id 60
61,14,7,93,2,Some Random Commen with Id 61
62,14,7,2,6,Some Random Commen with Id 62
63,14,7,79,2,Some Random Commen with Id 63
64,14,7,133,8,Some Random Commen with Id 64
65,14,7,24,5,Some Random Commen with Id 65
66,14,7,109,4,Some Random Commen with Id 66
67,14,7,88,5,Some Random Commen with Id 67
68,15,9,150,8,Some Random Commen with Id 68
69,16,5,62,9,Some Random Commen with Id 69
70,16,5,197,6,Some Random Commen with Id 70
71,17,9,176,4,Some Random Commen with Id 71
72,17,9,162,3,Some Random Commen with Id 72
73,17,9,46,1,Some Random Commen with Id 73
74,17,9,189,6,Some Random Commen with Id 74
75,17,9,27,5,Some Random Commen with Id 75
76,17,9,106,6,Some Random Commen with Id 76
77,17,9,159,8,Some Random Commen with Id 77
78,17,9,95,5,Some Random Commen with Id 78
79,17,9,43,1,Some Random Commen with Id 79
80,18,0,128,3,Some Random Commen with Id 80
81,18,0,191,9,Some Random Commen with Id 81
82,18,0,123,6,Some Random Commen with Id 82
83,19,3,92,3,Some Random Commen with Id 83
84,19,3,22,1,Some Random Commen with Id 84
85,19,3,70,4,Some Random Commen with Id 85
86,19,3,192,3,Some Random Commen with Id 86
87,19,3,97,7,Some Random Commen with Id 87
88,19,3,128,1,Some Random Commen with Id 88
89,19,3,171,6,Some Random Commen with Id 89
90,19,3,170,8,Some Random Commen with Id 90
91,21,9,185,9,Some Random Commen with Id 91
92,21,9,20,5,Some Random Commen with Id 92
93,24,2,31,8,Some Random Commen with Id 93
94,24,2,10,2,Some Random Commen with Id 94
95,24,2,90,7,Some Random Commen with Id 95
96,25,8,157,7,Some Random Commen with Id 96
97,25,8,154,2,Some Random Commen with Id 97
98,26,0,118,2,Some Random Commen with Id 98
99,26,0,123,8,Some Random Commen with Id 99
100,26,0,123,7,Some Random Commen with Id 100
101,26,0,24,6,Some Random Commen with Id 101
102,26,0,172,5,Some Random Commen with Id 102
103,26,0,79,8,Some Random Commen with Id 103
104,26,0,92,2,Some Random Commen with Id 104
105,26,0,79,8,Some Random Commen with Id 105
106,27,4,177,8,Some Random Commen with Id 106
107,27,4,49,6,Some Random Commen with Id 107
108,27,4,81,7,Some Random Commen with Id 108
109,27,4,148,5,Some Random Commen with Id 109
110,27,4,174,3,Some Random Commen with Id 110
111,27,4,31,6,Some Random Commen with Id 111
112,27,4,147,2,Some Random Commen with Id 112
